name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptococcus sp. LPB0220	2610896	S	10841	2297	13138	0.02512
Streptococcus sp. HSISM1	1316408	S	10487	2070	12557	0.02401
Streptococcus sp. Marseille-Q6470	2972784	S	3620	493	4113	0.00786
Streptococcus sp. oral taxon 061	712623	S	3220	453	3673	0.00702
Streptococcus sp. oral taxon 431	712633	S	2445	172	2617	0.00500
Streptococcus sp. Marseille-Q3533	2759692	S	2234	191	2425	0.00464
Streptococcus sp. A12	1759399	S	1701	205	1906	0.00364
Streptococcus sp. 116-D4	2598453	S	1023	95	1118	0.00214
Streptococcus sp. NPS 308	1902136	S	388	64	452	0.00086
Streptococcus sp. FDAARGOS_192	1839799	S	249	186	435	0.00083
Streptococcus sp. 1643	2576376	S	172	76	248	0.00047
Streptococcus sp. HSISS2	1316411	S	99	88	187	0.00036
Streptococcus sp. oral taxon 064	712624	S	90	86	176	0.00034
Streptococcus sp. HSISS3	1316412	S	70	59	129	0.00025
Streptococcus sp. KS 6	2598457	S	22	7	29	0.00006
Streptococcus sp. HSISS1	1316410	S	21	244	265	0.00051
Streptococcus sp. zg-86	2664091	S	18	0	18	0.00003
Streptococcus parasanguinis	1318	S	18756	1949	20705	0.03959
Streptococcus mitis	28037	S	13113	1827	14940	0.02856
Streptococcus infantis	68892	S	5996	444	6440	0.01231
Streptococcus oralis	1303	S	5801	826	6627	0.01267
Streptococcus salivarius	1304	S	5701	1460	7161	0.01369
Streptococcus sanguinis	1305	S	3930	107	4037	0.00772
Streptococcus pneumoniae	1313	S	3518	5840	9358	0.01789
Streptococcus lactarius	684066	S	1849	110	1959	0.00375
Streptococcus australis	113107	S	1359	500	1859	0.00355
Streptococcus ilei	1156431	S	1025	381	1406	0.00269
Streptococcus gwangjuense	1433513	S	940	210	1150	0.00220
Streptococcus cristatus	45634	S	901	51	952	0.00182
Streptococcus gordonii	1302	S	878	31	909	0.00174
Streptococcus pseudopneumoniae	257758	S	806	194	1000	0.00191
Streptococcus toyakuensis	2819619	S	776	251	1027	0.00196
Streptococcus intermedius	1338	S	280	55	335	0.00064
Streptococcus anginosus	1328	S	132	86	218	0.00042
Streptococcus constellatus	76860	S	42	35	77	0.00015
Streptococcus koreensis	2382163	S	455	212	667	0.00128
Streptococcus rubneri	1234680	S	452	146	598	0.00114
Streptococcus thermophilus	1308	S	410	57	467	0.00089
Streptococcus vestibularis	1343	S	343	36	379	0.00072
Streptococcus suis	1307	S	218	66	284	0.00054
Streptococcus mutans	1309	S	155	11	166	0.00032
Streptococcus equi	1336	S	46	1	47	0.00009
Streptococcus dysgalactiae	1334	S	29	3	32	0.00006
Streptococcus pyogenes	1314	S	65	3	68	0.00013
Streptococcus parauberis	1348	S	57	3	60	0.00011
Streptococcus agalactiae	1311	S	49	2038	2087	0.00399
Streptococcus parasuis	1501662	S	48	17	65	0.00012
Streptococcus oriscaviae	2781599	S	41	0	41	0.00008
Streptococcus pluranimalium	82348	S	40	1	41	0.00008
Streptococcus gallolyticus	315405	S	36	15	51	0.00010
Streptococcus respiraculi	2021971	S	34	0	34	0.00007
Streptococcus iniae	1346	S	29	2	31	0.00006
Streptococcus periodonticum	2490633	S	28	15	43	0.00008
Streptococcus alactolyticus	29389	S	27	2	29	0.00006
Streptococcus sobrinus	1310	S	24	0	24	0.00005
Streptococcus merionis	400065	S	23	0	23	0.00004
Streptococcus himalayensis	1888195	S	21	0	21	0.00004
Streptococcus urinalis	149016	S	21	1	22	0.00004
Streptococcus acidominimus	1326	S	20	0	20	0.00004
Streptococcus canis	1329	S	19	1	20	0.00004
Streptococcus pseudoporcinus	361101	S	18	1	19	0.00004
Streptococcus ferus	1345	S	18	0	18	0.00003
Streptococcus ruminantium	1917441	S	17	9	26	0.00005
Streptococcus porcinus	1340	S	17	0	17	0.00003
Streptococcus halotolerans	1814128	S	17	0	17	0.00003
Streptococcus equinus	1335	S	17	2	19	0.00004
Streptococcus uberis	1349	S	16	0	16	0.00003
Streptococcus milleri	33040	S	15	13	28	0.00005
Streptococcus ratti	1341	S	14	0	14	0.00003
Streptococcus marmotae	1825069	S	13	0	13	0.00002
Streptococcus pantholopis	1811193	S	11	0	11	0.00002
Streptococcus chenjunshii	2173853	S	11	0	11	0.00002
Lactococcus lactis	1358	S	17	42	59	0.00011
Lactococcus cremoris	1359	S	17	5	22	0.00004
Lactococcus raffinolactis	1366	S	12	0	12	0.00002
Granulicatella adiacens	46124	S	6620	231	6851	0.01310
Granulicatella elegans	137732	S	154	28	182	0.00035
Carnobacterium divergens	2748	S	13	1	14	0.00003
Carnobacterium maltaromaticum	2751	S	12	1	13	0.00002
Jeotgalibaca porci	1868793	S	13	6	19	0.00004
Dolosigranulum pigrum	29394	S	16	0	16	0.00003
Lacticaseibacillus rhamnosus	47715	S	10	5	15	0.00003
Pediococcus pentosaceus	1255	S	10	12	22	0.00004
Abiotrophia defectiva	46125	S	173	15	188	0.00036
Enterococcus faecium	1352	S	28	42	70	0.00013
Enterococcus faecalis	1351	S	18	13	31	0.00006
Vagococcus fluvialis	2738	S	12	1	13	0.00002
Gemella sanguinis	84135	S	1574	113	1687	0.00323
Gemella haemolysans	1379	S	358	19	377	0.00072
Gemella morbillorum	29391	S	90	10	100	0.00019
Exiguobacterium sp. N4-1P	2051906	S	34	3	37	0.00007
Bacillus cereus	1396	S	21	137	158	0.00030
Bacillus wiedmannii	1890302	S	20	9	29	0.00006
Bacillus sp. JY-23	2933872	S	11	2	13	0.00002
Weizmannia coagulans	1398	S	18	29	47	0.00009
Paenibacillus sp. SYP-B4298	2996034	S	11	14	25	0.00005
Paenibacillus mucilaginosus	61624	S	12	38	50	0.00010
Staphylococcus aureus	1280	S	10	43	53	0.00010
Ureibacillus thermosphaericus	51173	S	10	17	27	0.00005
Veillonella dispar	39778	S	18588	2211	20799	0.03977
Veillonella atypica	39777	S	14429	284	14713	0.02813
Veillonella rogosae	423477	S	9278	483	9761	0.01866
Veillonella sp. S12025-13	2682455	S	6762	1410	8172	0.01562
Veillonella nakazawae	2682456	S	5718	1649	7367	0.01408
Veillonella parvula	29466	S	4857	97	4954	0.00947
Veillonella rodentium	248315	S	276	2	278	0.00053
Megasphaera stantonii	2144175	S	37	7	44	0.00008
Megasphaera massiliensis	1232428	S	25	5	30	0.00006
Megasphaera hexanoica	1675036	S	22	8	30	0.00006
Megasphaera elsdenii	907	S	19	12	31	0.00006
Dialister pneumosintes	39950	S	12	10	22	0.00004
Selenomonas sp. oral taxon 478	712538	S	42	13	55	0.00011
Selenomonas sp. oral taxon 136	713030	S	34	9	43	0.00008
Selenomonas sp. oral taxon 920	1884263	S	23	1	24	0.00005
Selenomonas sp. oral taxon 126	712528	S	14	0	14	0.00003
Selenomonas sputigena	69823	S	28	0	28	0.00005
Selenomonas timonae	2754044	S	20	2	22	0.00004
Pelosinus fermentans	365349	S	15	2	17	0.00003
Lachnoanaerobaculum umeaense	617123	S	555	11	566	0.00108
