ERR6913320.1.1	CP022040.2	98.450	129	2	0	1	129	1373189	1373317	1.22e-55	228
ERR6913320.1.1	CP085942.1	97.727	132	3	0	1	132	365348	365217	1.22e-55	228
ERR6913320.1.1	CP002122.1	98.450	129	2	0	1	129	1323776	1323904	1.22e-55	228
ERR6913320.1.1	CP054011.1	96.124	129	5	0	1	129	1078666	1078794	1.23e-50	211
ERR6913320.1.1	CP072349.1	93.939	132	8	0	1	132	686424	686293	2.66e-47	200
ERR6913320.2.1	CP054011.1	96.875	96	3	0	1	96	1063604	1063699	8.06e-36	161
ERR6913320.2.1	CP072348.1	96.875	96	3	0	1	96	211621	211526	8.06e-36	161
ERR6913320.2.1	CP022040.2	95.833	96	4	0	1	96	1366239	1366334	3.75e-34	156
ERR6913320.2.1	CP085940.1	95.833	96	4	0	1	96	1396670	1396765	3.75e-34	156
ERR6913320.2.1	CP085942.1	95.833	96	4	0	1	96	372298	372203	3.75e-34	156
ERR6913320.4.1	CP031250.1	97.213	287	8	0	2	288	1401273	1401559	4.70e-133	486
ERR6913320.4.1	LS483411.1	96.864	287	9	0	2	288	1225117	1225403	2.19e-131	481
ERR6913320.4.1	CP085951.1	96.864	287	9	0	2	288	1424561	1424275	2.19e-131	481
ERR6913320.4.1	CP085949.1	96.864	287	9	0	2	288	505845	506131	2.19e-131	481
ERR6913320.4.1	CP005967.1	96.864	287	9	0	2	288	1249288	1249002	2.19e-131	481
ERR6913320.5.1	LR134375.1	93.519	108	7	0	1	108	1326103	1325996	9.60e-36	161
ERR6913320.5.1	AP022321.1	92.593	108	8	0	1	108	1272358	1272251	4.47e-34	156
ERR6913320.5.1	AP022322.1	92.593	108	8	0	1	108	1284080	1283973	4.47e-34	156
ERR6913320.8.1	CP072367.1	96.129	155	6	0	1	155	1365352	1365506	2.48e-63	254
ERR6913320.11.1	CP046335.1	100.000	87	0	0	1	87	1005398	1005312	6.91e-36	161
ERR6913320.11.1	CP028414.1	100.000	87	0	0	1	87	1020510	1020424	6.91e-36	161
ERR6913320.11.1	CP077259.1	100.000	87	0	0	1	87	1772108	1772022	6.91e-36	161
ERR6913320.11.1	LR595848.1	96.154	52	2	0	1	52	1069112	1069163	4.28e-13	86.1
ERR6913320.11.1	LR536845.1	96.154	52	2	0	1	52	1103079	1103028	4.28e-13	86.1
